arquivo,time,cmp,move,calls,size,limParticao,limQuebras
outputs/input_500_breaks500_output.txt,6.1e-05,5168,3202,712,500,2,1
outputs/input_500_breaks0_output.txt,1.1e-05,499,998,1,500,299,1
outputs/input_2000_breaks500_output.txt,0.000194,23372,8153,2345,2000,2,1
outputs/input_2000_breaks0_output.txt,1.4e-05,1999,3998,1,2000,1199,1
outputs/input_1000_breaks100_output.txt,6.2e-05,9392,2440,1052,1000,2,1
outputs/input_2000_breaks100_output.txt,0.000128,20228,4022,2037,2000,2,1
outputs/input_2000_breaks300_output.txt,0.000173,21628,6255,2189,2000,2,1
outputs/input_1000_breaks500_output.txt,0.000132,11601,5275,1267,1000,2,1
outputs/input_100_breaks300_output.txt,1.1e-05,809,558,148,100,2,10
outputs/input_100_breaks10_output.txt,5e-06,426,271,13,100,40,1
outputs/input_1000_breaks0_output.txt,7e-06,999,1998,1,1000,599,1
outputs/input_1000_breaks10_output.txt,1.9e-05,3700,2733,10,1000,400,1
outputs/input_500_breaks10_output.txt,1.1e-05,2023,1547,10,500,200,1
outputs/input_1000_breaks300_output.txt,0.0001,11080,4054,1206,1000,2,1
outputs/input_100_breaks100_output.txt,9e-06,790,704,22,100,21,1
outputs/input_100_breaks0_output.txt,1e-06,99,198,1,100,59,1
outputs/input_500_breaks100_output.txt,3.6e-05,4654,1556,570,500,2,1
outputs/input_2000_breaks10_output.txt,3.4e-05,7945,5981,10,2000,800,1
outputs/input_100_breaks500_output.txt,1.2e-05,785,742,19,100,21,1
outputs/input_500_breaks300_output.txt,7e-05,5182,2674,673,500,2,1
