arquivo,time,cmp,move,calls,size,alg,seed
outputs/non_optimized/output_quicksort_size2000_seed42.txt,4.8239e-05,20192,30288,2046,2000,q,42
outputs/non_optimized/output_insertion_size500_seed42.txt,1.848e-06,499,998,1,500,i,42
outputs/non_optimized/output_quicksort_insertion_size1000_seed42.txt,1.7593e-05,5960,9420,94,1000,q3i,42
outputs/non_optimized/output_quicksort_insertion_size2000_seed1.txt,4.1851e-05,13920,21840,190,2000,q3i,1
outputs/non_optimized/output_insertion_size1000_seed1.txt,3.702e-06,999,1998,1,1000,i,1
outputs/non_optimized/output_insertion_size500_seed1.txt,2.045e-06,499,998,1,500,i,1
outputs/non_optimized/output_quicksort_insertion_size500_seed42.txt,7.283e-06,2480,3960,46,500,q3i,42
outputs/non_optimized/output_insertion_size2000_seed42.txt,7.664e-06,1999,3998,1,2000,i,42
outputs/non_optimized/output_quicksort_size100_seed1.txt,2.117e-06,624,936,126,100,q,1
outputs/non_optimized/output_quicksort_size100_seed42.txt,2.101e-06,624,936,126,100,q,42
outputs/non_optimized/output_insertion_size2000_seed1.txt,7.628e-06,1999,3998,1,2000,i,1
outputs/non_optimized/output_quicksort_insertion_size500_seed1.txt,7.934e-06,2480,3960,46,500,q3i,1
outputs/non_optimized/output_quicksort_insertion_size1000_seed1.txt,1.6147e-05,5960,9420,94,1000,q3i,1
outputs/non_optimized/output_insertion_size1000_seed42.txt,3.579e-06,999,1998,1,1000,i,42
outputs/non_optimized/output_quicksort_insertion_size100_seed42.txt,1.163e-06,198,346,4,100,q3i,42
outputs/non_optimized/output_quicksort_size2000_seed1.txt,5.0691e-05,20192,30288,2046,2000,q,1
outputs/non_optimized/output_quicksort_size1000_seed1.txt,2.4651e-05,9096,13644,1022,1000,q,1
outputs/non_optimized/output_quicksort_size500_seed1.txt,1.1652e-05,4048,6072,510,500,q,1
outputs/non_optimized/output_insertion_size100_seed1.txt,7.08e-07,99,198,1,100,i,1
outputs/non_optimized/output_quicksort_insertion_size2000_seed42.txt,3.8799e-05,13920,21840,190,2000,q3i,42
outputs/non_optimized/output_quicksort_size1000_seed42.txt,2.192e-05,9096,13644,1022,1000,q,42
outputs/non_optimized/output_quicksort_insertion_size100_seed1.txt,1.447e-06,198,346,4,100,q3i,1
outputs/non_optimized/output_quicksort_size500_seed42.txt,1.1968e-05,4048,6072,510,500,q,42
outputs/non_optimized/output_insertion_size100_seed42.txt,7.61e-07,99,198,1,100,i,42
